Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1442.1501,3.0,969852.9844
2.0,1442.1501,3.0,982826.0625
3.0,1442.1501,3.0,996500.5781
4.0,1143.1913,11.0,1014205.625
5.0,1025.4192,11.0,1032500.4219
6.0,967.2004,11.0,1047872.7344
7.0,933.6744,11.0,1064154.2188
8.0,845.9111,11.0,1078466.0469
9.0,845.9111,11.0,1095264.2188
10.0,845.9111,11.0,1110575.5312
11.0,761.4962,11.0,1126935.2031
12.0,735.6903,11.0,1143700.0781
13.0,727.4973,11.0,1161964.5469
14.0,697.7957,11.0,1180071.2656
15.0,682.0791,11.0,1199115.6406
16.0,648.3378,11.0,1219721.5781
17.0,626.9759,11.0,1238154.0781
18.0,610.9454,11.0,1256338.75
19.0,610.9454,11.0,1275070.5469
20.0,610.9454,11.0,1293895.5469
21.0,610.9454,11.0,1313814.2031
22.0,602.1284,11.0,1332122.3906
23.0,597.4005,11.0,1352354.0625
24.0,592.1705,11.0,1375005.6875
25.0,592.1705,11.0,1395014.2656
