Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1519.6839,8.0,426303.4062
2.0,1519.6839,8.0,436760.7812
3.0,1519.6839,8.0,448156.5625
4.0,1519.6839,8.0,459926.4062
5.0,1519.6839,8.0,470961.5
6.0,1453.1593,9.0,482419.2031
7.0,1453.1593,9.0,493673.3594
8.0,1388.5648,9.0,504365.2188
9.0,1331.5119,8.0,515385.7656
10.0,1331.5119,8.0,526671.6094
11.0,1299.0204,8.0,536879.0625
12.0,1240.5647,8.0,547759.4688
13.0,1220.833,8.0,558717.3281
14.0,1214.6966,9.0,569065.7344
15.0,1138.8366,9.0,579930.375
16.0,1134.5535,8.0,590841.375
17.0,1129.3937,9.0,601830.4531
18.0,1105.1856,9.0,612678.8125
19.0,1105.1856,9.0,623652.3438
20.0,1077.3199,9.0,634172.6094
21.0,1051.7415,9.0,644787.0781
22.0,1051.7415,9.0,655557.7031
23.0,1031.3758,9.0,666109.4219
24.0,1018.0051,9.0,676833.2344
25.0,1007.9121,9.0,687306.875
