Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1592.2538,12.0,433007.6406
2.0,1556.7406,12.0,436691.5625
3.0,1408.1982,13.0,440484.75
4.0,1343.2222,13.0,444262.2031
5.0,1276.6455,13.0,449258.4219
6.0,1098.8858,13.0,455644.0469
7.0,1096.3334,13.0,460762.6562
8.0,1096.3334,13.0,465679.4062
9.0,1061.4101,13.0,470893.2344
10.0,1023.7828,13.0,475950.5156
11.0,1004.4587,13.0,480664.2031
12.0,1004.4587,13.0,485768.8594
13.0,1004.4587,13.0,490716.875
14.0,1004.4587,13.0,495508.7969
15.0,968.0211,13.0,500082.125
16.0,968.0211,13.0,504811.9219
17.0,968.0211,13.0,509307.1875
18.0,968.0211,13.0,514177.6875
19.0,968.0211,13.0,518782.1875
20.0,968.0211,13.0,523777.5781
21.0,935.0792,13.0,528944.4531
22.0,935.0792,13.0,534658.0312
23.0,935.0792,13.0,539777.3125
24.0,935.0792,13.0,545912.8125
25.0,935.0792,13.0,551703.5469
