Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1646.1475,8.0,697764.6562
2.0,1646.1475,8.0,707004.6719
3.0,1579.0182,8.0,716432.9219
4.0,1443.0714,8.0,725642.2344
5.0,1390.9203,8.0,733367.3906
6.0,1333.7825,8.0,741281.5312
7.0,1290.3179,8.0,749320.4844
8.0,1290.3179,8.0,757484.3125
9.0,1268.281,8.0,766413.6406
10.0,1261.5631,8.0,774904.7031
11.0,1182.5469,8.0,782568.0781
12.0,1182.5469,8.0,790185.4062
13.0,1173.53,8.0,798599.6562
14.0,1101.5063,8.0,806763.0938
15.0,1101.5063,8.0,814379.9375
16.0,1101.5063,8.0,822262.9375
17.0,1082.9234,8.0,830817.5469
18.0,1082.9234,8.0,838152.7344
19.0,1082.9234,8.0,846254.7656
20.0,1075.0032,8.0,853824.7812
21.0,1075.0032,8.0,860973.4531
22.0,1058.8399,8.0,868810.0469
23.0,1058.8399,8.0,877192.8281
24.0,1058.8399,8.0,885403.1875
25.0,1058.8399,8.0,893254.3438
